held,CL,CL-EWMA,ewma_alpha,MLR,mlr_feats,RC_1step,rc_tau_s,RC_rollout,AR1_1step,ARX_1step,ARX_rollout,CL_as_1step
concurrent,1.6434740268976442,1.5663660405857722,0.02,1.3026126161185891,3,0.6712922637388691,1,1.6115303195417991,0.6538394213993405,0.6539389522598666,1.606308409492153,1.6417932149992596
matrix_block1,2.4512382704825812,2.2080071889442814,0.02,1.8658053005320858,3,0.638375476984735,2,2.330179676372133,0.6226790079533022,0.6652774468708041,2.354238814952423,2.4436417338180543
matrix_block2,2.103731782462473,1.9885294781395504,0.02,2.0607573374590893,3,0.7148416216268725,1,2.0952915518028625,0.6486667082622991,0.6820341014321079,2.0913109087537056,2.1032429311644276
stability,0.8450486330153131,0.784883895645355,0.02,1.3908116303639646,3,0.6425453785490167,2,0.7956911657586967,0.6698396547650155,0.6480091712059652,0.7936154697486834,0.8452710040688772
